,trade_date,open,high,close,low,vol,change
1591,20131220,2335.052,2338.875,2278.136,2278.096,65204207.0,-54.274
1590,20131223,2283.8,2295.765,2284.602,2259.575,45580285.0,6.466
1589,20131224,2291.125,2312.832,2288.248,2270.245,45599168.0,3.646
1588,20131225,2291.748,2305.609,2305.11,2281.6,44005326.0,16.862
1587,20131226,2299.972,2301.493,2265.334,2263.922,51497563.0,-39.776
1586,20131227,2268.535,2315.182,2303.478,2264.386,53389157.0,38.144
1585,20131230,2313.38,2316.621,2299.458,2295.641,48414308.0,-4.02
1584,20131231,2289.01,2333.074,2330.026,2287.117,56631070.0,30.568
1583,20140102,2323.433,2325.991,2321.978,2310.653,45194291.0,-8.048
1582,20140103,2311.968,2314.836,2290.779,2280.887,59782645.0,-31.199
1581,20140106,2286.371,2286.371,2238.637,2229.334,66300403.0,-52.142
1580,20140107,2222.306,2246.791,2238.001,2218.647,43753103.0,-0.636
1579,20140108,2240.635,2262.584,2241.911,2228.418,51348854.0,3.91
1578,20140109,2236.967,2258.894,2222.221,2220.802,55987041.0,-19.69
1577,20140110,2216.521,2224.494,2204.851,2200.215,54169293.0,-17.37
1576,20140113,2206.996,2222.072,2193.679,2183.597,50122772.0,-11.172
1575,20140114,2192.844,2214.124,2212.846,2179.908,54049947.0,19.167
1574,20140115,2210.024,2215.903,2208.941,2193.802,48962395.0,-3.905
1573,20140116,2209.448,2227.262,2211.844,2201.56,52298902.0,2.903
1572,20140117,2203.821,2205.972,2178.488,2175.876,50273155.0,-33.356
1571,20140120,2173.651,2182.463,2165.993,2156.458,40560154.0,-12.495
1570,20140121,2168.42,2197.923,2187.41,2168.42,40306247.0,21.417
1569,20140122,2190.432,2244.133,2243.796,2187.534,70641375.0,56.386
1568,20140123,2242.245,2248.924,2231.889,2228.057,56345951.0,-11.907
1567,20140124,2225.758,2257.355,2245.678,2222.893,61167670.0,13.789
1566,20140127,2233.015,2233.231,2215.919,2211.799,70344246.0,-29.759
1565,20140128,2220.785,2233.257,2219.855,2205.972,53269130.0,3.936
1564,20140129,2225.711,2233.057,2227.781,2219.928,50222717.0,7.926
1563,20140130,2223.163,2223.163,2202.45,2200.224,43632304.0,-25.331
1562,20140207,2187.343,2212.498,2212.483,2177.117,50459315.0,10.033
1561,20140210,2221.54,2270.194,2267.534,2221.54,83065716.0,55.051
1560,20140211,2267.735,2296.516,2285.562,2262.599,99229829.0,18.028
1559,20140212,2286.187,2294.317,2291.246,2276.444,76592161.0,5.684
1558,20140213,2288.451,2307.474,2279.554,2278.261,96217789.0,-11.692
1557,20140214,2278.4,2295.852,2295.575,2274.429,67082997.0,16.021
1556,20140217,2308.791,2315.579,2311.647,2293.552,87831666.0,16.072
1555,20140218,2310.309,2310.309,2282.442,2276.108,87049743.0,-29.205
1554,20140219,2280.927,2317.42,2308.656,2274.152,99352561.0,26.214
1553,20140220,2314.088,2331.698,2287.436,2286.203,106439533.0,-21.22
1552,20140221,2284.03,2287.869,2264.294,2250.652,76368993.0,-23.142
1551,20140224,2246.715,2246.715,2214.509,2194.164,89215939.0,-49.785
1550,20140225,2216.515,2225.209,2157.909,2150.095,93237551.0,-56.6
1549,20140226,2147.737,2164.698,2163.405,2137.079,77993297.0,5.496
1548,20140227,2170.81,2180.063,2154.108,2150.135,90104296.0,-9.297
1547,20140228,2149.446,2180.474,2178.971,2133.548,76668057.0,24.863
1546,20140303,2173.907,2194.224,2190.37,2167.91,82072314.0,11.399
1545,20140304,2183.858,2188.601,2184.273,2161.589,73069250.0,-6.097
1544,20140305,2187.352,2189.093,2163.976,2159.595,61332015.0,-20.297
1543,20140306,2159.397,2181.427,2173.634,2136.454,69093767.0,9.658
1542,20140307,2170.043,2189.39,2168.358,2161.436,64265177.0,-5.276
1541,20140310,2149.676,2149.676,2097.787,2095.067,71416407.0,-70.571
1540,20140311,2092.608,2118.79,2108.661,2088.729,57621243.0,10.874
1539,20140312,2102.801,2130.586,2114.134,2090.757,70069747.0,5.473
1538,20140313,2119.547,2149.436,2140.333,2115.986,69226028.0,26.199
1537,20140314,2129.87,2140.384,2122.836,2109.575,58617737.0,-17.497
1536,20140317,2132.793,2143.196,2143.038,2118.953,52409445.0,20.202
1535,20140318,2146.124,2152.462,2138.133,2134.923,55354132.0,-4.905
1534,20140319,2131.283,2131.283,2120.87,2101.285,59303905.0,-17.263
1533,20140320,2116.185,2134.792,2086.967,2086.497,67631285.0,-33.903
1532,20140321,2079.871,2163.225,2158.798,2077.759,104024807.0,71.831
1531,20140324,2161.898,2186.731,2176.554,2150.871,104491984.0,17.756
1530,20140325,2170.78,2191.491,2174.44,2164.669,86877510.0,-2.114
1529,20140326,2181.231,2186.078,2171.047,2165.217,58276176.0,-3.393
1528,20140327,2168.344,2186.893,2155.707,2146.916,71275132.0,-15.34
1527,20140328,2154.515,2172.668,2151.965,2144.584,70086073.0,-3.742
1526,20140331,2156.054,2165.254,2146.305,2134.422,55457488.0,-5.66
1525,20140401,2143.717,2170.095,2163.115,2141.151,48866403.0,16.81
1524,20140402,2166.067,2182.683,2180.727,2164.008,65039257.0,17.612
1523,20140403,2188.642,2196.138,2165.008,2160.747,71536032.0,-15.719
1522,20140404,2157.982,2186.154,2185.472,2155.277,47945888.0,20.464
1521,20140408,2179.92,2243.97,2237.316,2178.905,97219117.0,51.844
1520,20140409,2239.791,2246.793,2238.62,2228.994,66357268.0,1.304
1519,20140410,2241.452,2290.742,2273.761,2229.515,114545405.0,35.141
1518,20140411,2269.565,2281.105,2270.666,2261.133,90615897.0,-3.095
1517,20140414,2267.943,2275.83,2268.613,2255.456,62264998.0,-2.053
1516,20140415,2261.411,2261.474,2229.463,2225.685,68218130.0,-39.15
1515,20140416,2223.468,2245.315,2232.526,2221.153,51678010.0,3.063
1514,20140417,2238.779,2241.622,2224.803,2221.954,48333628.0,-7.723
1513,20140418,2215.879,2228.77,2224.479,2203.047,50757995.0,-0.324
1512,20140421,2209.942,2231.707,2187.248,2186.755,56278280.0,-37.231
1511,20140422,2184.017,2196.849,2196.795,2165.075,57094694.0,9.547
